강좌명\학교명,SNU,KAIST,Korea,udacity,Udemy,CMU,Berkeley,MIT,GeorgiaTech
Computational Models of Cognition,,,,,,"(1, 'Cognitive Modeling:')","(1, 'Computational Models of Cognition')","(1, 'Computational Cognitive Science')",
,,,,,,,,"(0.5, 'Neural Circuits for Cognition (New)')",
Neural Computation,,,"(0.7, '신경망 (Neural Networks)')",,,"(1, 'Neural Computation')","(1, 'Neural Computation')","(1, 'Introduction to Neural Computation')",
,,,,,,,,"(0.5, 'Neural Circuits for Cognition (New)')",
Biomedical Computing,,,,,,,,"(1, 'Biomedical Computing')","(0.5, 'Information to Health Informatics')"
Cellular Neurophysiology and Computing,,,,,,,,"(1, 'Cellular Neurophysiology and Computing')",
Computational Perception,,"(1, '인지과학 특강')",,,,"(1, 'Computational Perception')",,,"(0.5, 'Introduction to Perception and Robotics')"
,,,,,,,,,"(1, 'Computational Perception')"
Perception,,,,,,"(1, 'Perception')",,"(1, 'Perception')","(1, 'Sensation and Perception')"
Human Memory,,,,,,"(1, 'Human Memory')",,,
Visual Cognition,,,,,,"(1, 'Visual Cognition')",,,
Language and Thought,,,,,,"(1, 'Language and Thought')",,,
Principles of Microeconomics,,,,,,,,"(1, 'Principles of Microeconomics')",
Intermediate Macroeconomics,,,,,,,,"(1, 'Intermediate Macroeconomics')",
Economic Applications of Game Theory,,,,,,,,"(1, 'Economic Applications of Game Theory')",
Psychology and Economics,,,,,,,,"(1, 'Psychology and Economics')",
Econometric Data Science,,,,,,,,"(1, 'Econometric Data Science')",
Stochastic Models in Business Analytics,,,,,,,,"(1, 'Stochastic Models in Business Analytics')",
Artificial Intelligence for Business,,,,,"(1, 'Artificial Intelligence for Business')",,,,
,,,,,"(1, 'Artificial Intelligence & Machine Learning for Business')",,,,
,,,,,"(1, 'Power Your Business with Artificial Intelligence')",,,,
,,,,,"(1, 'Artificial Intelligence: Practical Essentials for Management')",,,,
,,,,,"(1, 'Introduction to AI for Business')",,,,
,,,,,"(1, 'Hands-On Artificial Intelligence for Small Businesses')",,,,
,,,,,"(1, '인공 지능(AI/ML) 활용 비즈니스 모델 수립 강좌 - 기초편 -')",,,,
Machine Learning for Trading,,,,"(1, 'Artificial Intelligence for Trading')","(1, 'Predict the stock market with data and model building!')",,,,"(1, 'Machine Learning for Trading')"
,,,,"(1, 'Machine Learning for Trading')","(1, '인공 지능을 갖춘 투자자 로봇-모듈 1')",,,,"(1, 'Machine Learning for Trading(graduate)')"
,,,,,"(1, '인공 지능을 갖춘 투자자 로봇-모듈 2')",,,,
,,,,,"(1, 'Trader를 위한 인공지능의 기초')",,,,
,,,,,"(1, 'Python for Financial Analysis and Algorithmic Trading')",,,,
Computational Social Science,,,,,,,,,"(1, 'Computational Journalism')"
,,,,,,,,,"(1, 'Computational Journalism(graduate)')"
,,,,,,,,,"(1, 'Computational Social Science')"
IT 창업/사업 관련,,,"(0, 'IT 창업 및 경영 (IT Founding and Business)')",,"(1, '인공지능(AI/ML)사업추진인력에 필요한 기술/육성방법')",,,,
,,,"(0, '창의혁신론 (Creative Innovation Theory)')",,,,,,
,,,"(0, '지적재산권법 (Intellectual Property Right)')",,,,,,
,,,"(0, '기술사업화 (Technology Commercialization)')",,,,,,
,,,"(0, '기술 마케팅 (Technology Marketing)')",,,,,,
,,,"(0, '창업 보육 정책/법규 (Incubator Policy and Regulation)')",,,,,,
